Name,AudSD,AudSeq,AudBeat,VisSD,VisSeq,VisBeat,Musician_years of instruction ( >= 5 -> 2 ),,AudSDIntDiff (T),AudSDIntDiff (F),AudIrregIntDiff (T),AudIrregIntDiff (F),AudRegIntDiff (T),AudRegIntDiff (F),VisSDIntDiff (T),VisSDIntDiff (F),VisIrregIntDiff (T),VisIrregIntDiff (F),VisRegIntDiff (T),VisRegIntDiff (F)
56423,0.71,0.83,0.7,0.83,0.63,0.6,2,,1.91,0.97,2.92,2.46,1.76,1.78,1.79,0.87,2.89,2.77,1.83,1.67
57060,0.69,0.53,0.47,0.48,0.4,0.27,1,,2.02,0.78,2.9,2.79,1.71,1.81,1.79,1.5,2.82,2.87,1.88,1.73
58523,0.4,0.53,0.83,0.52,0.47,0.37,2,,1.88,1.48,2.94,2.74,1.72,2,1.61,1.66,2.91,2.79,2,1.63
59002,0.69,0.4,0.33,0.48,0.23,0.37,1,,1.76,1.36,2.67,2.97,1.6,1.85,1.76,1.53,3.01,2.8,1.64,1.84
60319,0.62,0.4,0.47,0.45,0.43,0.43,1,,1.95,1.13,2.98,2.76,1.71,1.81,1.82,1.49,2.84,2.85,1.69,1.82
60446,0.5,0.2,0.4,0.55,0.27,0.33,1,,1.78,1.5,2.93,2.83,1.58,1.89,1.92,1.3,2.55,2.95,1.8,1.75
60470,0.69,0.53,0.53,0.83,0.33,0.6,1,,2.01,0.82,2.91,2.77,1.69,1.86,1.8,0.84,2.96,2.79,1.78,1.75
61025,0.79,0.7,0.47,0.67,0.37,0.33,2,,1.78,1.12,2.89,2.74,1.86,1.69,1.89,1.14,2.81,2.87,1.8,1.75
62713,0.6,0.3,0.5,0.6,0.23,0.23,1,,2.15,0.88,2.66,2.93,1.8,1.73,1.93,1.21,2.7,2.89,1.71,1.78
62731,0.69,0.27,0.33,0.55,0.33,0.37,1,,1.78,1.32,2.9,2.83,1.7,1.8,2.03,1.17,2.88,2.83,1.82,1.74
